Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.72041,0,0,0,0,0,0,0,0,0.453549,0,0,0,-1.07297,1.4061,-0.648843,0.103764,1.4156,0,0,0,0.947845,-1.2522,0.580431,-0.0932722,0,0,0,0,0,0,0,0
1.40258,0,0,0,0,0,0,0,0,0.0507996,-0.104896,0.124338,-0.0293512,0.17246,-0.328485,0.195548,-0.0389471,1.73595,0.0155748,-0.178553,-0.0266465,-1.06471,1.91477,-1.13441,0.228482,0,0,0,0,0,0,0,0
1.81632,0,0,0,0,0,0,0,0,0.0245595,-0.0891058,-0.115054,-0.00813498,-0.549731,0.795995,-0.375658,0.0597265,1.40919,-0.111903,0.165921,0.0144,0.766329,-1.06866,0.494162,-0.077568,0,0,0,0,0,0,0,0
1.15497,0,0,0,0,0,0,0,0,-0.406359,0.00776524,0.122538,-0.0103208,0.110251,-0.400811,0.329138,-0.0852817,1.73908,-0.0368463,-0.148713,0.000453871,-0.365007,0.845575,-0.612067,0.149173,0,0,0,0,0,0,0,0
1.19382,0,0,0,0,0,0,0,0,-0.329924,0.00450709,-0.101489,-0.017067,-1.3781,2.58752,-1.69759,0.386737,1.54327,-0.173619,0.060184,0.0243253,-0.00742686,0.212837,-0.250568,0.0773352,0,0,0,0,0,0,0,0
0.89055,0,0,0,0,0,0,0,0,-0.600749,-0.27278,0.0493101,0.00676685,0.496171,-0.458258,-0.0469251,0.114883,1.50608,0.106647,0.00886592,-0.00634693,1.0977,-3.24879,3.20107,-1.06107,0,0,0,0,0,0,0,0
1.06054,0,0,0,0,0,0,0,0,-0.716767,0.0351587,0.100459,0.00608261,1.33923,-2.82319,2.08147,-0.532368,1.5997,0.0445529,-0.0104158,-0.0032426,0.0566576,-0.271672,0.278929,-0.0865642,0,0,0,0,0,0,0,0
1.11662,0,0,0,0,0,0,0,0,-0.494434,0.254389,-0.0201091,0.019187,0.0870297,-0.67514,0.69637,-0.209145,1.6048,-0.0533962,-0.0249886,0.00304305,-2.52024,5.43387,-4.05479,1.03677,0,0,0,0,0,0,0,0
1.52066,0,0,0,0,0,0,0,0,-0.348285,-0.066737,-0.089787,0.000531752,-0.717305,1.05319,-0.542138,0.0968192,1.41735,-0.0603565,0.0243271,0.00491529,0.455136,-0.675455,0.353707,-0.0643135,0,0,0,0,0,0,0,0
1.00296,0,0,0,0,0,0,0,0,-0.810315,-0.336722,0.0433089,-0.0158146,-0.0643723,1.03668,-1.2706,0.437653,1.50478,0.0803787,-0.00184549,-0.00699597,1.88541,-4.6802,3.96792,-1.14475,0,0,0,0,0,0,0,0
1.11864,0,0,0,0,0,0,0,0,-0.979983,0.0689519,0.108159,0.0158307,1.91986,-4.44092,3.38934,-0.874086,1.60467,-0.00957498,-0.0331826,-1.68889e-05,-2.39216,5.07044,-3.73981,0.948228,0,0,0,0,0,0,0,0
0.569278,0,0,0,0,0,0,0,0,-0.792674,-0.0171592,-0.132178,0.0183176,0.170365,-1.80392,3.52126,-2.05424,1.43865,-0.0786317,0.0214682,0.0130925,-6.12322,26.8297,-40.1308,20.4191,0,0,0,0,0,0,0,0
1.70027,0,0,0,0,0,0,0,0,-0.851812,-0.197651,-0.129555,0.00170321,-0.629953,1.03647,-0.538934,0.0932084,1.39401,-0.00240301,0.0513434,0.00272508,0.685509,-0.99547,0.491336,-0.0826762,0,0,0,0,0,0,0,0
1.31624,0,0,0,0,0,0,0,0,-1.28274,0.116558,0.150928,-0.035745,0.916569,-1.96382,1.3323,-0.299416,1.61001,-0.0155416,-0.051712,0.00482944,-1.22244,2.26576,-1.44147,0.313185,0,0,0,0,0,0,0,0
0.567085,0,0,0,0,0,0,0,0,-1.07801,-0.101203,-0.101975,0.0753849,-0.655973,5.4076,-10.1021,5.75699,1.44105,-0.0422353,0.0125897,-0.017736,-6.3441,26.203,-38.0206,19.0121,0,0,0,0,0,0,0,0
1.58807,0,0,0,0,0,0,0,0,-1.13255,-0.0409184,0.0413797,-0.0302149,-0.915696,1.13401,-0.490625,0.074397,1.39263,-0.0762132,-0.0380828,-0.000395385,0.866546,-1.09035,0.501592,-0.0828575,0,0,0,0,0,0,0,0
0.202915,0,0,0,0,0,0,0,0,-1.55885,-0.124735,0.431559,0.0142239,-35.8659,437.076,-1912.91,2844.39,1.60734,0.101942,-0.317853,-0.261138,6.95109,-87.6005,460.529,-779.707,0,0,0,0,0,0,0,0
